labels,questions
wudhu,apa itu wudhu?
wudhu,kenapa harus wudhu?
wudhu,apa doa sebelum wudhu?
wudhu,kalau sudah wudhu tapi lupa melafadzkan niat bagaimana hukumnya?
wudhu,bagaimana wudhu dengan air yang sedikit?
wudhu,adakah dalil cara wudhu?
wudhu,apa fardhu wudhu?
wudhu,apa sunnah wudhu?
wudhu,apa yang dilarang atau diharamkan saat tidak punya wudhu?
wudhu,bagaimana cara wudhu?
wudhu,apa doa setelah wudhu?
wudhu,bagaimana niat wudhu?
wudhu,bagaimana cara niat wudhu? harus dengan lisan atau cukup dalam hati?
wudhu,apakah wudhu orang yang berpuasa tanpa kumur-kumur itu sah?
wudhu,apakah diperbolehkan wudhu didalam WC?
wudhu,bolehkah kita wudhu dalam kondisi telanjang?
wudhu,apakah dibolehkan wudhu dengan menggunakan air bekas limbah?
wudhu,bagaimana hukumnya wudhu dengan menggunakan air banjir?
wudhu,bagaimana wudhunya orang terkena tinta atau tip-ex ?
wudhu,bagaimana cara mengusap kepala dan membersihkan hidung?
wudhu,"seorang perempuan berwudhu, apakah harus melepas kerudungnya ketika mengusap kepala?"
wudhu,sampai batas manakah membasuh tangan dan kaki?
wudhu,"sahkah kita wudhu dengan air sprite, pepsi atau minuman ringan?"
wudhu,apakah orang yang membaca quran harus berwudhu terlebih dahulu?
wudhu,apakah wudhu itu harus menghadap kiblat?
wudhu,apakah mencium istri membatalkan wudhu?
wudhu,amalan apa saja yang dianjurkan untuk berwudhu terlebih dahulu?
wudhu,apa itu wudhu wajib dan wudhu sunnah?
wudhu,apa yang dapat membatalkan wudhu?
wudhu,apa syarat-syarat sahnya wudhu?
wudhu,bagaimana wudhunya orang yang masih menggunakan kuteks kuku?
tayamum,apa itu tayamum?
tayamum,apa syarat-syarat tayamum?
tayamum,adakah dalil cara tayamum?
tayammum,bagaimana cara tayammum
tayamum,apa sebab disyariatkannya atau dibolehkannya tayamum?
tayamum,apa fardhu tayamum?
tayamum,apa sunnah tayamum?
tayamum,apa saja yang membatalkan tayamum?
tayamum,bagaimana cara tayamum orang yang diperban?
tayamum,ketika tayamum sampai batas manakah tangan dan wajah yang diusap?
tayamum,apakah tayamum dapat dipergunakan untuk dua kali shalat?
tayamum,apakah dilarang tayamum dengan sesuatu yang tidak suci?
tayamum,apa debu yang baik itu?
tayamum,manakah yang lebih didahulukan jika ada air tapi sangat terbatas. Apakah untuk kebutuhan hidup atau bersuci?
tayamum,apakah ada batas jarak safar yang diperbolehkan untuk tayamum?
tayamum,bolehkah jenazah ditayamumi?
tayamum,bagaimana cara tayamum orang yang sedang naik kendaraan?
tayamum,apakah diperbolehkan seseorang bertayamum menggunakan bedak?
tayamum,"bagaimana jika seorang yang shalat dengan tayamum,kemudian ia mendapatkan air?"
tayamum,"jika ada seseorang karena kesibukannya sehingga ia mendapatkan waktu shalat yang sangat sempit, bolehkah ia bertayamum, khawatir jika ia mengambil air, waktu shalat akan terlewat?"
tayamum,bolehkah orang junub bertayamum karena alasan kedinginan?
tayamum,bagaimana niat tayamum?
tayamum,"bagaimana jika seseorang yang shalat dengan bertayamum, kemudian mendapatkan air?"
tayamum,"jika ada air yang sangat terbatas, sementara ada orang yang junub dan jenazah, siapa yang lebih berhak mendapatkan air tersebut?"
darah wanita,apa itu haid?
darah wanita,apa itu nifas?
darah wanita,bagaimana cara bersuci dari nifas?
darah wanita,bagaimana cara bersuci dari haid?
darah wanita,apa saja yang dilarang atau haram dilakukan saat haidh dan nifas?
darah wanita,apa itu istihadah?
darah wanita,"apa perbedaan antara haid,nifas dan istihadah?"
darah wanita,bolehkah wanita istihadhah sholat?
darah wanita,berapa lama maksimal istihadah?
darah wanita,berapa lama maksimal haid?
darah wanita,berapa lama maksimal nifas?
darah wanita,berapa lama minimum haid?
darah wanita,apa ciri-ciri darah haid?
darah wanita,bolehkah wanita istihadah sholat?
darah wanita,bolehkah wanita istihadah thawaf?
darah wanita,bolehkah wanita istihadah melayani suami?
darah wanita,haruskah wanita istihadah mandi setiap akan shalat?
darah wanita,apakah darah setelah keguguran termasuk nifas?
darah wanita,berapa lama nifas pada umumnya?
darah wanita,bolehkan wanita yang sedang nifas shalat?
darah wanita,bagaimana puasanya wanita yang nifas?
darah wanita,bolehkah suami mencium wanita yang sedang nifas?
darah wanita,apakah darah yang keluar sebelum melahirkan termasuk nifas?
darah wanita,bolehkah wanita yang sedang haid bercerai?
darah wanita,berapa lama wanita haid?
darah wanita,"Jika wanita belum shalat,kemudian mengalami haid, bagaimana shalatnya?"
darah wanita,apakah wanita haid boleh masuk masjid?
darah wanita,bagaimana cara bersuci dari istihadah?
air dan najis,najiskah air mani?
air dan najis,apa itu najis yand dimaafkan?
air dan najis,ada berapa macam-macam air?
air dan najis,apa itu air mutlak?
air dan najis,apa itu air suci dan menyucikan?
air dan najis,apa itu air mutanajis?
air dan najis,apa itu air yang tidak suci dan menyucikan?
air dan najis,apa itu air musta'mal?
air dan najis,apa itu air yang suci dan tidak menyucikan?
air dan najis,apa itu air musyammas?
air dan najis,apa itu air yang suci tapi makruh digunakan?
